rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
1,ALBA BERLIN,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,1,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
2,BMA365 Bamberg Baskets,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,2,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
3,Basketball Löwen Braunschweig,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,3,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
4,EWE Baskets Oldenburg,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,4,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
5,FC Bayern München Basketball,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,5,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
6,Fitness First Würzburg Baskets,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,6,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
7,MHP RIESEN Ludwigsburg,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,7,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
8,NINERS Chemnitz,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,8,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
9,Phoenix Hagen,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,9,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
10,RASTA Vechta,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,10,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
11,ROSTOCK SEAWOLVES,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,11,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
12,SKYLINERS,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,12,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
13,SYNTAINICS MBC,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,13,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
14,Science City Jena,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,14,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
15,Telekom Baskets Bonn,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,15,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
16,VET-CONCEPT Gladiators Trier,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,16,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
17,Veolia Towers Hamburg,Bundesligen,Bundesligen,1,1. Bundesliga,1. Bundesliga (easyCredit BBL),55802,17,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
